Fantasy_Football_2025_Draft
RK,PLAYER NAME,TEAM,POS,BYE
1,Ja'Marr Chase,CIN,WR1,10
2,Bijan Robinson,ATL,RB1,5
3,Saquon Barkley,PHI,RB2,9
4,Justin Jefferson,MIN,WR2,6
5,Jahmyr Gibbs,DET,RB3,8
6,CeeDee Lamb,DAL,WR3,10
7,Derrick Henry,BAL,RB4,7
8,Nico Collins,HOU,WR4,6
9,Brian Thomas Jr.,JAC,WR5,8
10,Malik Nabers,NYG,WR6,14
11,Puka Nacua,LAR,WR7,8
12,Ashton Jeanty,LV,RB5,8
13,Christian McCaffrey,SF,RB6,14
14,Amon-Ra St. Brown,DET,WR8,8
15,Jonathan Taylor,IND,RB7,11
16,Drake London,ATL,WR9,5
17,A.J. Brown,PHI,WR10,9
18,Josh Jacobs,GB,RB8,5
19,George Kittle,SF,TE1,14
20,Brock Bowers,LV,TE2,8
21,Bucky Irving,TB,RB9,9
22,Ladd McConkey,LAC,WR11,12
23,Kyren Williams,LAR,RB10,8
24,De'Von Achane,MIA,RB11,12
25,Josh Allen,BUF,QB1,7
26,Chase Brown,CIN,RB12,10
27,Lamar Jackson,BAL,QB2,7
28,Tee Higgins,CIN,WR12,10
29,Mike Evans,TB,WR13,9
30,Trey McBride,ARI,TE3,8
31,James Cook III,BUF,RB13,7
32,Jayden Daniels,WAS,QB3,12
33,Jaxon Smith-Njigba,SEA,WR14,8
34,Jalen Hurts,PHI,QB4,9
35,Davante Adams,LAR,WR15,8
36,Tyreek Hill,MIA,WR16,12
37,Omarion Hampton,LAC,RB14,12
38,Marvin Harrison Jr.,ARI,WR17,8
39,Terry McLaurin,WAS,WR18,12
40,Kenneth Walker III,SEA,RB15,8
41,Garrett Wilson,NYJ,WR19,9
42,DK Metcalf,PIT,WR20,5
43,TreVeyon Henderson,NE,RB16,14
44,Chuba Hubbard,CAR,RB17,14
45,Jameson Williams,DET,WR21,8
46,Courtland Sutton,DEN,WR22,12
47,Breece Hall,NYJ,RB18,9
48,Joe Burrow,CIN,QB5,10
49,James Conner,ARI,RB19,8
50,Alvin Kamara,NO,RB20,11
51,Xavier Worthy,KC,WR23,10
52,Tetairoa McMillan,CAR,WR24,14
53,Calvin Ridley,TEN,WR25,10
54,George Pickens,DAL,WR26,10
55,DJ Moore,CHI,WR27,5
56,Tony Pollard,TEN,RB21,10
57,D'Andre Swift,CHI,RB22,5
58,David Montgomery,DET,RB23,8
59,DeVonta Smith,PHI,WR28,9
60,Sam LaPorta,DET,TE4,8
61,Isiah Pacheco,KC,RB24,10
62,RJ Harvey,DEN,RB25,12
63,Zay Flowers,BAL,WR29,7
64,Patrick Mahomes II,KC,QB6,10
65,Jaylen Waddle,MIA,WR30,12
